location,total_cases,population
Afghanistan,174331.0,39835428.0
Africa,11268386.0,1373486472.0
Albania,272030.0,2872934.0
Algeria,265227.0,44616626.0
Andorra,38434.0,77354.0
Angola,98796.0,33933611.0
Anguilla,2555.0,15125.0
Antigua and Barbuda,7455.0,98728.0
Argentina,8934328.0,45605823.0
Armenia,421226.0,2968128.0
Aruba,33732.0,107195.0
Asia,120758420.0,4678444992.0
Australia,3362035.0,25788217.0
Austria,2839297.0,9043072.0
Azerbaijan,788958.0,10223344.0
Bahamas,33169.0,396914.0
Bahrain,525171.0,1748295.0
Bangladesh,1946737.0,166303494.0
Barbados,56013.0,287708.0
Belarus,929340.0,9442867.0
Belgium,3586292.0,11632334.0
Belize,56876.0,404915.0
Benin,26575.0,12451031.0
Bermuda,11634.0,62092.0
Bhutan,14451.0,779900.0
Bolivia,894551.0,11832936.0
Bonaire Sint Eustatius and Saba,7616.0,26445.0
Bosnia and Herzegovina,372139.0,3263459.0
Botswana,263950.0,2397240.0
Brazil,29040800.0,213993441.0
British Virgin Islands,6091.0,30423.0
Brunei,84844.0,441532.0
Bulgaria,1100811.0,6896655.0
Burkina Faso,20751.0,21497097.0
Burundi,38150.0,12255429.0
Cambodia,132072.0,16946446.0
Cameroon,119322.0,27224262.0
Canada,3334009.0,38067913.0
Cape Verde,55892.0,561901.0
Cayman Islands,19373.0,66498.0
Central African Republic,14320.0,4919987.0
Chad,7257.0,16914985.0
Chile,3168335.0,19212362.0
China,110868.0,1444216102.0
Colombia,6070616.0,51265841.0
Comoros,8047.0,888456.0
Congo,24020.0,5657017.0
Cook Islands,2.0,17572.0
Costa Rica,814583.0,5139053.0
Cote d'Ivoire,85518.0,27053629.0
Croatia,1062953.0,4081657.0
Cuba,1072474.0,11317498.0
Curacao,39133.0,164796.0
Cyprus,331508.0,896005.0
Czechia,3624937.0,10724553.0
Democratic Republic of Congo,86154.0,92377986.0
Denmark,2853236.0,5813302.0
Djibouti,15550.0,1002197.0
Dominica,11248.0,72172.0
Dominican Republic,575883.0,10953714.0
Ecuador,836216.0,17888474.0
Egypt,489876.0,104258327.0
El Salvador,156364.0,6518500.0
Equatorial Guinea,15889.0,1449891.0
Eritrea,9715.0,3601462.0
Estonia,514067.0,1325188.0
Eswatini,69297.0,1172369.0
Ethiopia,468930.0,117876226.0
Europe,161250662.0,748962983.0
European Union,111173878.0,447189915.0
Faeroe Islands,34658.0,49053.0
Falkland Islands,115.0,3528.0
Fiji,64019.0,902899.0
Finland,671773.0,5548361.0
France,23064766.0,67422000.0
French Polynesia,68425.0,282534.0
Gabon,47559.0,2278829.0
Gambia,11948.0,2486937.0
Georgia,1623672.0,3979773.0
Germany,15830112.0,83900471.0
Ghana,160028.0,31732128.0
Gibraltar,15622.0,33691.0
Greece,2499259.0,10370747.0
Greenland,11806.0,56868.0
Grenada,13696.0,113015.0
Guatemala,791944.0,18249868.0
Guernsey,,63385.0
Guinea,36397.0,13497237.0
Guinea-Bissau,8027.0,2015490.0
Guyana,63040.0,790329.0
